Mesure complète MiCS6814 + BME690 + SCD41 + SDS011
Date: 2026-03-27 22:17:47
RED_R0=393643.25
OX_R0=12887.26
NH3_R0=144596.18

83s | CO:6.471000371687832 | NO2:0.1277576555979426 | NH3:1.304094719754927 | CO2:1205 | T:21.34 | H:63.666 | P:1017.64 | GAS:4698.5 | PM25:5.7 | PM10:22.7
84s | CO:6.427659817908361 | NO2:0.12567854928880903 | NH3:1.3446171914145917 | CO2:1205 | T:21.33 | H:63.651 | P:1017.64 | GAS:4714.8 | PM25:5.8 | PM10:22.7
85s | CO:6.442091770966181 | NO2:0.12567854928880903 | NH3:1.3242254141700889 | CO2:1287 | T:21.32 | H:63.625 | P:1017.64 | GAS:4690.5 | PM25:5.7 | PM10:22.8
86s | CO:6.3988405565150925 | NO2:0.12822115834322673 | NH3:1.2284924537691064 | CO2:1287 | T:21.31 | H:63.636 | P:1017.63 | GAS:4690.5 | PM25:5.6 | PM10:23.6
87s | CO:6.427659817908361 | NO2:0.13241709220647466 | NH3:1.1702127222086154 | CO2:1287 | T:21.3 | H:63.932 | P:1017.62 | GAS:4682.4 | PM25:5.5 | PM10:23.6
88s | CO:6.456538618892 | NO2:0.13171470358939777 | NH3:1.2095870884671913 | CO2:1287 | T:21.29 | H:64.104 | P:1017.61 | GAS:4690.5 | PM25:5.5 | PM10:23.5
90s | CO:6.427659817908361 | NO2:0.13218282570954373 | NH3:1.2166480788249248 | CO2:1287 | T:21.29 | H:64.091 | P:1017.6 | GAS:4682.4 | PM25:5.6 | PM10:23.7
91s | CO:6.312739216798198 | NO2:0.1371313779804986 | NH3:1.1011296568956033 | CO2:1289 | T:21.28 | H:63.978 | P:1017.6 | GAS:4686.4 | PM25:5.6 | PM10:23.5
92s | CO:6.4999686320237595 | NO2:0.13500310003831303 | NH3:1.1978943010877015 | CO2:1289 | T:21.28 | H:63.817 | P:1017.59 | GAS:4674.4 | PM25:5.6 | PM10:23.1
93s | CO:6.485477039380916 | NO2:0.1331207148884717 | NH3:1.2719304914610428 | CO2:1289 | T:21.28 | H:63.594 | P:1017.6 | GAS:4682.4 | PM25:5.6 | PM10:22.4
94s | CO:6.34138033486285 | NO2:0.1333555305814092 | NH3:1.2308727925919392 | CO2:1289 | T:21.27 | H:63.356 | P:1017.58 | GAS:4698.5 | PM25:5.5 | PM10:21.5
95s | CO:6.384453228302023 | NO2:0.13359048387510442 | NH3:1.2308727925919392 | CO2:1289 | T:21.26 | H:63.255 | P:1017.59 | GAS:4698.5 | PM25:5.5 | PM10:21.0
96s | CO:6.34138033486285 | NO2:0.13927095984801885 | NH3:1.1611037611041246 | CO2:1294 | T:21.26 | H:63.218 | P:1017.59 | GAS:4706.6 | PM25:5.2 | PM10:20.0
97s | CO:6.3988405565150925 | NO2:0.134767318594405 | NH3:1.2332569670685238 | CO2:1294 | T:21.25 | H:63.265 | P:1017.59 | GAS:4706.6 | PM25:5.3 | PM10:21.5
98s | CO:5.987603732551246 | NO2:0.1352390199328634 | NH3:1.2002253338307702 | CO2:1294 | T:21.24 | H:62.619 | P:1017.59 | GAS:4722.9 | PM25:5.2 | PM10:21.4
99s | CO:5.848654235532234 | NO2:0.13665745360474524 | NH3:1.1475498701569906 | CO2:1294 | T:21.22 | H:61.014 | P:1017.58 | GAS:4731.1 | PM25:5.2 | PM10:20.8
100s | CO:5.307267763031189 | NO2:0.14118237308823942 | NH3:0.9768413975345184 | CO2:1294 | T:21.21 | H:58.266 | P:1017.59 | GAS:4739.3 | PM25:5.1 | PM10:19.8
101s | CO:5.387018461426287 | NO2:0.14022553712500344 | NH3:1.0271701513955414 | CO2:1294 | T:21.19 | H:56.722 | P:1017.58 | GAS:4739.3 | PM25:5.0 | PM10:19.3
102s | CO:4.9418124979073195 | NO2:0.14142193593850227 | NH3:0.9631097640088937 | CO2:1294 | T:21.16 | H:54.604 | P:1017.58 | GAS:4768.3 | PM25:4.9 | PM10:17.2
103s | CO:4.801242742920149 | NO2:0.14334355396160714 | NH3:0.90784930311816 | CO2:1294 | T:21.13 | H:53.131 | P:1017.57 | GAS:4785.0 | PM25:4.9 | PM10:16.8
105s | CO:4.725276684420509 | NO2:0.14697127341988148 | NH3:0.8375130726916695 | CO2:1294 | T:21.11 | H:52.12 | P:1017.57 | GAS:4768.3 | PM25:4.8 | PM10:15.7
106s | CO:4.6372791474416175 | NO2:0.15161318934264403 | NH3:0.7504139889932949 | CO2:1294 | T:21.08 | H:51.432 | P:1017.57 | GAS:4801.8 | PM25:4.8 | PM10:15.8
107s | CO:4.68748055671606 | NO2:0.15063155768478306 | NH3:0.7830417862650141 | CO2:1291 | T:21.05 | H:50.855 | P:1017.57 | GAS:4789.2 | PM25:4.7 | PM10:15.6
108s | CO:4.649808794687931 | NO2:0.1530900559395399 | NH3:0.7536289426844892 | CO2:1291 | T:21.02 | H:50.415 | P:1017.57 | GAS:4810.3 | PM25:4.8 | PM10:15.9
109s | CO:4.68748055671606 | NO2:0.1548198035537288 | NH3:0.7329188101163535 | CO2:1291 | T:20.99 | H:50.112 | P:1017.56 | GAS:4818.8 | PM25:4.7 | PM10:15.1
110s | CO:4.574837676211012 | NO2:0.16130884764987977 | NH3:0.6572635361514354 | CO2:1291 | T:20.97 | H:49.96 | P:1017.56 | GAS:4814.5 | PM25:4.6 | PM10:14.6
111s | CO:4.68748055671606 | NO2:0.15905109668976772 | NH3:0.7019073286936157 | CO2:1291 | T:20.95 | H:49.833 | P:1017.56 | GAS:4827.3 | PM25:4.5 | PM10:13.5
112s | CO:4.700065438905388 | NO2:0.15930135104643234 | NH3:0.6943124948782147 | CO2:1286 | T:20.93 | H:49.805 | P:1017.57 | GAS:4823.0 | PM25:4.5 | PM10:13.3
113s | CO:4.674909492915163 | NO2:0.16105737828368272 | NH3:0.677822464155801 | CO2:1286 | T:20.91 | H:49.927 | P:1017.57 | GAS:4848.7 | PM25:4.4 | PM10:13.0
114s | CO:4.68748055671606 | NO2:0.16206417129227974 | NH3:0.6748562864121923 | CO2:1286 | T:20.89 | H:49.924 | P:1017.59 | GAS:4840.1 | PM25:4.3 | PM10:12.0
115s | CO:4.549957461093859 | NO2:0.16815662287242006 | NH3:0.6038063327202794 | CO2:1286 | T:20.87 | H:49.511 | P:1017.58 | GAS:4835.8 | PM25:4.2 | PM10:11.7
116s | CO:4.219437986388229 | NO2:0.16764550699968175 | NH3:0.6231095637483216 | CO2:1286 | T:20.82 | H:47.002 | P:1017.58 | GAS:4883.4 | PM25:4.1 | PM10:11.2
117s | CO:4.0876294330977245 | NO2:0.1722681544875189 | NH3:0.5691324838207378 | CO2:1266 | T:20.77 | H:44.84 | P:1017.57 | GAS:4900.9 | PM25:4.1 | PM10:11.1
