Mesures MiCS-6814 + SDS011
Date: 2026-03-10 00:14:51
SDS011: /dev/ttyUSB0

49s | CO_V:0.023875V NH3_V:0.578125V CH4_V:0.017375V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.5ug/m3 PM10:21.0ug/m3
50s | CO_V:0.024750V NH3_V:0.578000V CH4_V:0.017500V | CO:0.19ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.5ug/m3 PM10:20.5ug/m3
51s | CO_V:0.024000V NH3_V:0.578375V CH4_V:0.017375V | CO:0.18ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:21.0ug/m3
52s | CO_V:0.024250V NH3_V:0.582750V CH4_V:0.017125V | CO:0.18ppm NH3:36.69ppm CH4:0.06ppm | PM2.5:11.5ug/m3 PM10:20.7ug/m3
53s | CO_V:0.024250V NH3_V:0.578000V CH4_V:0.017250V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:21.2ug/m3
54s | CO_V:0.024125V NH3_V:0.577875V CH4_V:0.017250V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:21.4ug/m3
56s | CO_V:0.024250V NH3_V:0.578000V CH4_V:0.017500V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:21.5ug/m3
57s | CO_V:0.024375V NH3_V:0.577750V CH4_V:0.017375V | CO:0.18ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:21.0ug/m3
58s | CO_V:0.024000V NH3_V:0.577875V CH4_V:0.017250V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:20.9ug/m3
59s | CO_V:0.024375V NH3_V:0.578375V CH4_V:0.017500V | CO:0.18ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:12.0ug/m3 PM10:21.3ug/m3
60s | CO_V:0.023750V NH3_V:0.577875V CH4_V:0.017250V | CO:0.17ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:20.6ug/m3
61s | CO_V:0.024625V NH3_V:0.577750V CH4_V:0.017250V | CO:0.18ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:20.7ug/m3
62s | CO_V:0.023500V NH3_V:0.578125V CH4_V:0.017000V | CO:0.17ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:20.8ug/m3
63s | CO_V:0.024125V NH3_V:0.578125V CH4_V:0.017250V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.9ug/m3 PM10:21.2ug/m3
64s | CO_V:0.023750V NH3_V:0.578375V CH4_V:0.017125V | CO:0.17ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:21.0ug/m3
65s | CO_V:0.024750V NH3_V:0.578375V CH4_V:0.017500V | CO:0.19ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:12.1ug/m3 PM10:21.6ug/m3
66s | CO_V:0.024250V NH3_V:0.577875V CH4_V:0.017375V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:12.0ug/m3 PM10:21.7ug/m3
67s | CO_V:0.024500V NH3_V:0.577750V CH4_V:0.017375V | CO:0.18ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:21.1ug/m3
68s | CO_V:0.023750V NH3_V:0.578125V CH4_V:0.017375V | CO:0.17ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:20.9ug/m3
69s | CO_V:0.024250V NH3_V:0.578500V CH4_V:0.017375V | CO:0.18ppm NH3:36.23ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:20.9ug/m3
70s | CO_V:0.024000V NH3_V:0.578125V CH4_V:0.017250V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:20.8ug/m3
